company_id,industry,employee_range
"2577e978331af23","Business Services","1,000 - 4,999"
"259f71a1e4a4d1d","Hospitality and Travel","10,000+"
"25eb76a98c538e4","Real Estate","20 - 49"
"262dadd93025781","Business Services","100 - 249"
"266efaa3ef34a84","Business Services","0 - 9"
"26caa8e69bc973a","Business Services","1,000 - 4,999"
"26e7f6f9ee57e2c","Mining","250 - 499"
"2706a5fdefaf9be","Software and Technology","50 - 99"
"272ff4c17c42f1e","Real Estate","0 - 9"
"273f7fac9e26da6","Business Services","50 - 99"
"2803dc23b8afcac","Retail and Distribution","5,000 - 9,999"
"293c6d119b2bf6d","Hardware","0 - 9"
"297e6c728dfd68d","Business Services","0 - 9"
"299362c3ec7ad4a","Business Services","100 - 249"
"29d0c96c8c40b61","Manufacturing","500 - 999"
"2b06a204b8c872f","Consumer Goods and Services","1,000 - 4,999"
"2b15222006ce498","Retail and Distribution","250 - 499"
"2b7b12c207a3e85","Business Services","50 - 99"
"2b8aa4fa03b1910","Software and Technology","100 - 249"
"2b9bd3248671f89","Financial Services","100 - 249"
"2bad0576c49263d","Business Services","20 - 49"
"2bdfebcd59190ed","Government","250 - 499"
"2c22186e1254a5c","Manufacturing","100 - 249"
"2c293a077674eba","Food and Beverage","20 - 49"
"2c85bebaac6dde6","Software and Technology","50 - 99"
"2cb58b264e17d1a","Software and Technology","50 - 99"
"2cdd5c1908a6480","Retail and Distribution","50 - 99"
"2cee49c2f1413dc","Healthcare and Medical","250 - 499"
"2d04986678056f0","Business Services","100 - 249"
"2d49f35d881e6a5","Construction","20 - 49"
"2e52e2986c6a767","Healthcare and Medical","1,000 - 4,999"
"2e596faeef0264d","Manufacturing","1,000 - 4,999"
"2ebeec9b47c8123","Healthcare and Medical","0 - 9"
"2f28ff7351a711d","Software and Technology","100 - 249"
"2f6c75523cf5986","Financial Services","100 - 249"
"30180ad470cb77b","Software and Technology","20 - 49"
"3032e429337b762","Real Estate","500 - 999"
"305b87389369eec","Financial Services","20 - 49"
"3077410d27eac25","Software and Technology","50 - 99"
"3110c4d03b08ffe","Business Services","100 - 249"
"314b4c3d157c8de","Transportation and Logistics","20 - 49"
"317734f88e56a86","Software and Technology","20 - 49"
"31d08bb792c9e0a","Transportation and Logistics","1,000 - 4,999"
"31f48be528f2181","Software and Technology","20 - 49"
"321fca67b8b90d5","Business Services","100 - 249"
"322d02e710b0b1c","Telecommunications","250 - 499"
"32860765c53139a","Government","100 - 249"
"32b3600a1126f8d","Government","500 - 999"
"345b4b95900fd1d","Manufacturing","100 - 249"
"34716a6d9f61e11","Business Services","500 - 999"
"34f3cf390be989f","Software and Technology","5,000 - 9,999"
"354d538a3c7f694","Business Services","100 - 249"
"355c29888aea0e5","Software and Technology","0 - 9"
"3617e917e0e4e06","Software and Technology","0 - 9"
"3626720bbefd852","Retail and Distribution","20 - 49"
"3649c581f60c26e","Software and Technology","250 - 499"
"3672cec69cdd990","Construction","500 - 999"
"367f9ef1b86edfd","Software and Technology","20 - 49"
"370270c1d0e033a","Financial Services","1,000 - 4,999"
"375c0f8669ff507","Business Services","50 - 99"
"377690299581c5e","Education","250 - 499"
"37b87af0cd07e99","Software and Technology","100 - 249"
"37e9e156576a37b","Software and Technology","1,000 - 4,999"
"37feda7a401b18f","Business Services","N/A"
"3829d80b7ed3eb8","Government","1,000 - 4,999"
"3855aba3fe4b949","Software and Technology","20 - 49"
"388271707494858","Telecommunications","500 - 999"
"38c02f94fc371a6","Software and Technology","500 - 999"
"38e3dcf1fce88d5","Software and Technology","N/A"
"3981781f5028122","Mining","20 - 49"
"3a49306017632c7","Automotive","10,000+"
"3b2aabe73a1b00b","Software and Technology","20 - 49"
"3c2c2e69b52c09b","Construction","50 - 99"
"3c57ad94e15f15f","Real Estate","500 - 999"
"3c91d37686af502","Business Services","0 - 9"
"3cd73f0a65086a8","Software and Technology","20 - 49"
"3cdccec38d86b9c","Education","10,000+"
"3d3afa0a2d816e0","Education","10,000+"
"3d7b8feff4a8016","Manufacturing","250 - 499"
"3d7c7efba29c608","Retail and Distribution","20 - 49"
"3dbcb0ac3814b40","Manufacturing","250 - 499"
"3ddbc905955cd60","Government","500 - 999"
"3e8290ad6ed1f7b","Retail and Distribution","50 - 99"
"3e95952be33e3b5","Financial Services","1,000 - 4,999"
"3ee00ca2b39a8f8","Business Services","20 - 49"
"3f2443d6ee70bf7","Business Services","100 - 249"
"3fe4346c6ebeab5","Business Services","0 - 9"
"406620a47aade9c","Software and Technology","250 - 499"
"40782bb5383eed3","Automotive","20 - 49"
"4087ab630509da4","Software and Technology","1,000 - 4,999"
"40c7711d77827ce","Associations","20 - 49"
"412bdac5edcc055","Government","500 - 999"
"412f0b32ee4aae8","Business Services","100 - 249"
"41b1ab5670b84cf","Software and Technology","100 - 249"
"421f410cd022757","Business Services","10 - 19"
"42847b859463a3f","Healthcare and Medical","100 - 249"
"428e83dc61d1f6b","N/A","20 - 49"
"42a4ca57f239d84","Food and Beverage","50 - 99"
"4376c5b8d26412c","Hospitality and Travel","5,000 - 9,999"
"43a684cb508f455","Software and Technology","20 - 49"
"43e1d1de85ad371","Transportation and Logistics","100 - 249"
"44a9f3260b2e251","Transportation and Logistics","5,000 - 9,999"
"44da1fc0aa801d7","Business Services","1,000 - 4,999"
"45c82513791b346","Business Services","250 - 499"
"45e0c66d58480d7","Business Services","100 - 249"
"46c00a0a1536113","Financial Services","250 - 499"
"47f8dae4e03fcc3","Education","1,000 - 4,999"
"4812d0b3bb0a9e6","Healthcare and Medical","5,000 - 9,999"
"4833286d0db2e1e","Food and Beverage","0 - 9"
"48386ebe07a67b6","Business Services","10 - 19"
"48d944699bf9750","Business Services","5,000 - 9,999"
"48da71aedc62b81.e6f3ff817a2c7dd","Education","20 - 49"
"49633e82302030c","Business Services","20 - 49"
"497c548e6ec282a","Software and Technology","20 - 49"
"49ec5b66481de4a","Energy and Utilities","1,000 - 4,999"
"4a0ab0499039842","Education","250 - 499"
"4a1c6e89dacee18","Manufacturing","100 - 249"
"4ae0f127a7baa71","Food and Beverage","250 - 499"
"2640e01a2fe3982","Government","100 - 249"
"2641c2005b80cac","Software and Technology","500 - 999"
"2736903203b88c9","Software and Technology","20 - 49"
"2740745dfcfceb1","Software and Technology","20 - 49"
"282639afb9de00c","Healthcare and Medical","0 - 9"
"28655c5a1ed9815","Business Services","50 - 99"
"287925678733628","Financial Services","1,000 - 4,999"
"28839f004cfa6a3","Financial Services","100 - 249"
"28f2b3067257809","Software and Technology","5,000 - 9,999"
"28fce2360e231a9","Business Services","20 - 49"
"28fcf1a2be8f3a0","Biotech","1,000 - 4,999"
"2912a11be9d2556","Financial Services","20 - 49"
"29198ecf5de76da","Software and Technology","20 - 49"
"2930db90ca851a6","Software and Technology","20 - 49"
"293374b87a49d73","Media and Entertainment","100 - 249"
"2a4deac5841ed5b","Software and Technology","100 - 249"
"2abee98fe5da384","Business Services","20 - 49"
"2b3f7b04135cca0","Software and Technology","50 - 99"
"2b4cb8d638f66d0","Business Services","0 - 9"
"2c7b304f5b82a81","Software and Technology","50 - 99"
"2cd3c8aae17b193","Financial Services","250 - 499"
"2cdfe4b04266919","Pharmaceuticals","20 - 49"
"2d38bf649e8a218","Financial Services","10 - 19"
"2d5a0bbbc7aa431","Energy and Utilities","50 - 99"
"2dcc6d4634c8af2","Energy and Utilities","250 - 499"
"2e658d51e5d9c6e","Manufacturing","1,000 - 4,999"
"2e6df7bca53bd33","N/A","N/A"
"2eead7148595aba","Manufacturing","10,000+"
"2ffa8e554e26b3a","Construction","0 - 9"
"307d2430e11d561","Software and Technology","50 - 99"
"30b4a3fc96893ed","Manufacturing","250 - 499"
"310c0c389823a31","Retail and Distribution","10,000+"
"312d000e7b17c21","Business Services","100 - 249"
"31a2491835318de","Software and Technology","500 - 999"
"31bcf7f0a0d7990","Software and Technology","1,000 - 4,999"
"325a8453f7f7910","Media and Entertainment","20 - 49"
"3275d85fc0fcd29","Healthcare and Medical","20 - 49"
"32868b9b8de745c","Manufacturing","20 - 49"
"32afdabd88767fa","Healthcare and Medical","0 - 9"
"337ef7e489df781","Real Estate","20 - 49"
"33c0a5a2a073b42","Transportation and Logistics","5,000 - 9,999"
"33fd56b6a722dd8","Software and Technology","N/A"
"3477a0b8d2c1e03","Construction","500 - 999"
"34818810374de6e","Government","10,000+"
"34d9fafc437e784","Food and Beverage","500 - 999"
"34ebf0b82a293b3","Software and Technology","20 - 49"
"34f8acd681db10c","Software and Technology","20 - 49"
"35348a057a36d61","Associations","1,000 - 4,999"
"357e0736502212d","Software and Technology","250 - 499"
"36196d778b740db","Software and Technology","20 - 49"
"3642063b7be1f88","Software and Technology","0 - 9"
"3668407e0270452","Energy and Utilities","1,000 - 4,999"
"36ffd9fa74b9fa8","Transportation and Logistics","20 - 49"
"37659677759e156","Education","20 - 49"
"37f0615df3d1caf","Financial Services","250 - 499"
"3849033e77b9cb7","Financial Services","20 - 49"
"38f68838c15102c","Software and Technology","250 - 499"
"3953fa7dcae1596","Software and Technology","20 - 49"
"39abf3b70b23eb7","Software and Technology","20 - 49"
"39d437a4580626d","Business Services","100 - 249"
"3a4a14b6e353bf2","Business Services","20 - 49"
"3b409b01135507b","Government","1,000 - 4,999"
"3b5909434b9811b","Business Services","100 - 249"
"3bf39074c995e1e","Education","10,000+"
"3c2ef7291eb2a5b","Manufacturing","500 - 999"
"3cba27fcc318ccc","Real Estate","0 - 9"
"3cc5cce44e6b362","N/A","N/A"
"3cdab91c93004d3","Software and Technology","50 - 99"
"3d1294a7314df04","Software and Technology","250 - 499"
"3d1797588242a43","Energy and Utilities","50 - 99"
"3d50dfa90b5f3f5","Manufacturing","100 - 249"
"3d93b4f15d9a5a5","Hardware","0 - 9"
"3dee977248d8b2e","Software and Technology","20 - 49"
"3e03e3cf5f43bc7","Software and Technology","0 - 9"
"3e0769e1f52557a","Manufacturing","50 - 99"
"3e225252c86c6d3","Business Services","500 - 999"
"3e9890dd17e71d4","Real Estate","20 - 49"
"3ea9681151f4d62","Pharmaceuticals","10,000+"
"3eb951495d5153a","Healthcare and Medical","10,000+"
"3f26c6a834f7373","Software and Technology","250 - 499"
"3f814c2737ece12","N/A","0 - 9"
"3fb8ace8684873e","Energy and Utilities","1,000 - 4,999"
"40401767945f10d","Software and Technology","10,000+"
"40929942adfade0","Business Services","20 - 49"
"40c15452506b290","Software and Technology","100 - 249"
"40ebcb90c04bf30","Financial Services","1,000 - 4,999"
"419026d1a28b74b","Telecommunications","0 - 9"
"41b865d4b84ed46","Telecommunications","10 - 19"
"41bcbf839dd4581","Retail and Distribution","100 - 249"
"41f20e5e65ede87","Financial Services","100 - 249"
"4273b67b4855b50","N/A","0 - 9"
"42a759519a3980c","N/A","0 - 9"
"42c70e08dd4e2d6","Business Services","100 - 249"
"4328bb339fafafe","Hospitality and Travel","1,000 - 4,999"
"4347dbcb34fc1bd","Apparel","100 - 249"
"438d7974259b56f","Business Services","20 - 49"
"4450d21c414a857","Business Services","10,000+"
"4465f93ae1d5784","Business Services","1,000 - 4,999"
"4501ff8f7e569a3","Transportation and Logistics","5,000 - 9,999"
"45269e4792bd164","Associations","1,000 - 4,999"
"4580a16e5a4249c","Hospitality and Travel","100 - 249"
"45b26680c18869b","Software and Technology","20 - 49"
"45bdc0b11390634","Government","20 - 49"
"464d6d7e170d048","Software and Technology","20 - 49"
"4681c32ef6df90b","Business Services","100 - 249"
"46a626c8dd00e50","Software and Technology","50 - 99"
"46d91bdb755dfe3","Software and Technology","10 - 19"
"46e593f9f08d681","Software and Technology","250 - 499"
"478f4cb31d39e2f","Financial Services","N/A"
"47b524c263d3039","Software and Technology","100 - 249"
"47deb5f5aec3ce7","Automotive","10,000+"
"48a32c4839c7575","Software and Technology","500 - 999"
"492679c3005f997","Government","1,000 - 4,999"
"49e7334f1e8e66d","Hardware","1,000 - 4,999"
"4a0eceae890ccd8","Consumer Goods and Services","100 - 249"
"4a65c6ea309fb97","Retail and Distribution","50 - 99"
".088f60963900960","Real Estate","0 - 9"
".0b323da6b32c397","N/A","N/A"
".0e715798001af36","Business Services","100 - 249"
".0ead59e940a3068","Financial Services","10,000+"
".10db58d8d1b900b","Telecommunications","20 - 49"
".13f30e9c03ef92c","Software and Technology","0 - 9"
".16e9a7a4b8b74f6","Healthcare and Medical","20 - 49"
".1817694f02b6704","Healthcare and Medical","20 - 49"
".24df627e60c1750","Business Services","10,000+"
".2b18aaa6e998ca5","Financial Services","0 - 9"
".30a3dabc517a305","Manufacturing","250 - 499"
".361261bd47c45c2","N/A","0 - 9"
".3658d68656bcda9","N/A","0 - 9"
".36b45bb03cb5d2c","Software and Technology","20 - 49"
".37caf8d24970769","Manufacturing","0 - 9"
".3cdf7eeb065d5b1","Financial Services","0 - 9"
".3d709c5d55c79d7","Business Services","20 - 49"
".3dd4b4b041d406c","Real Estate","0 - 9"
".419cdbc08a7648e","Financial Services","0 - 9"
".421a43607e9ed5c","Business Services","0 - 9"
".479745717d91490","Food and Beverage","0 - 9"
".479809c12a2db5a","Business Services","10 - 19"
".49d36bb907a82c9","N/A","250 - 499"
".4fc7d62f3bbb7aa","Software and Technology","100 - 249"
".52c0ea9d22227c8","Retail and Distribution","20 - 49"
".5712ebc89171a30","Software and Technology","0 - 9"
".5ca31f75f354753","Pharmaceuticals","100 - 249"
".67e3abdcf4198b4","Healthcare and Medical","0 - 9"
".691576fcb49dccb","Software and Technology","250 - 499"
".74b5ab19a40476e","Mining","0 - 9"
".76d2ec894fd5264","Retail and Distribution","20 - 49"
".853b93ef157d245","Business Services","N/A"
".8c61d857fe07f4e","Manufacturing","10,000+"
".9dda366e87ab11f","Business Services","0 - 9"
".9e502046ba429e2","Telecommunications","100 - 249"
".a11bcc16e682174","Financial Services","10,000+"
".a24ea1840546288","Business Services","0 - 9"
".a268f4ddd76e92b","N/A","N/A"
".a52532336a1c16a","Business Services","0 - 9"
".ac3ad90bf1202fa","Healthcare and Medical","0 - 9"
".b392308866e840d","Food and Beverage","0 - 9"
".b8ea6c79e8e30b2","Education","100 - 249"
".bc87a948d3cf089","Software and Technology","10 - 19"
".c4c2f2ee91a6465","N/A","N/A"
".c90ed6ecbb36d27","Manufacturing","0 - 9"
".d0a400a5aefcd96","Software and Technology","100 - 249"
".d75277b25a2e2a7","Business Services","20 - 49"
".df8108b58ada4d0","Automotive","250 - 499"
".e1c4d05efc25d50","Software and Technology","250 - 499"
".e2a20913f7b6eab","Telecommunications","1,000 - 4,999"
".e841249af05d484","Business Services","0 - 9"
".eaad9e99b4551a9","N/A","N/A"
".ede4185e373e4c0","Business Services","20 - 49"
".f1a9a2e09ce5ecc","Real Estate","0 - 9"
".f69d871867c5757","Retail and Distribution","0 - 9"
".f9200e296b08f66","N/A","N/A"
".fa57c8e94a06bdb","N/A","N/A"
".facec21caf3c2a4","Business Services","20 - 49"
".fba82d6329c6c68","Construction","20 - 49"
".ff15cd946e7f550","N/A","N/A"
"000f870244f45d5","Manufacturing","1,000 - 4,999"
"000fa60a0cbed80","Business Services","20 - 49"
"0045ea6d592fe88","Software and Technology","250 - 499"
"004ef34c8c73f0b","Media and Entertainment","100 - 249"
"00adfbaf420a6c7","Business Services","20 - 49"
"0138b58929f348d","Business Services","20 - 49"
"013ec72b227b7e1","Software and Technology","100 - 249"
"0142f78dbb1453f","Financial Services","0 - 9"
"015ca33b940f101","Manufacturing","1,000 - 4,999"
"017585fc0d07a32","Telecommunications","1,000 - 4,999"
"0175b3a2a3f85e6","Software and Technology","50 - 99"
"26d760f6a4109d9","Financial Services","500 - 999"
"2714e86ca47ee73","Healthcare and Medical","5,000 - 9,999"
"273534acfa5b267","Retail and Distribution","1,000 - 4,999"
"276c0be76d37bb8","Automotive","1,000 - 4,999"
"27f6695a66740b4","Healthcare and Medical","50 - 99"
"2828242b906ff48","Business Services","1,000 - 4,999"
"288e23099e7913d","Healthcare and Medical","20 - 49"
"291632410139170","Business Services","50 - 99"
"2947566bb618cc6","Financial Services","0 - 9"
"294acfa031bde32","Software and Technology","0 - 9"
"29d1150ce6f198d","Business Services","5,000 - 9,999"
"2a9e1e74afcf2ae","Software and Technology","100 - 249"
"2aaff52decc6338","Software and Technology","50 - 99"
"2ad46a33b10febb","Government","N/A"
"2b932b0b87fcbb2","Energy and Utilities","10,000+"
"2baef8d29f63d95","Apparel","250 - 499"
"2bb0a855f7b6968","Healthcare and Medical","500 - 999"
"2bd90b96a13970d","Manufacturing","100 - 249"
"2cf2adeec6e0db9","Transportation and Logistics","20 - 49"
"2cfed74ce4666fe","Software and Technology","5,000 - 9,999"
"2d625c2896330db","Business Services","0 - 9"
"2d9487be5a2f6fb","Financial Services","10 - 19"
"2ddff3202da56e0","Energy and Utilities","10,000+"
"2eaa5f8fc887033","Aerospace and Defense","250 - 499"
"2eac8cea8aa7152","Aerospace and Defense","250 - 499"
"2eb04ee5fefa809","Food and Beverage","500 - 999"
"2eba819c6956724","Software and Technology","100 - 249"
"2edd19ef9089be7","Real Estate","1,000 - 4,999"
"2f2953846c5a91c","Business Services","1,000 - 4,999"
"2f74e11fa10db08","Software and Technology","100 - 249"
"2f888eb830d01aa","Business Services","0 - 9"
"2fbd6e3880e1102","Retail and Distribution","1,000 - 4,999"
"2ff527f0bf0eb62","Software and Technology","500 - 999"
"30203d298124f3f","Telecommunications","0 - 9"
"30597e67f922411","Software and Technology","100 - 249"
"3073493df23f3f6","Business Services","50 - 99"
"30bfb920003bba8","N/A","100 - 249"
"30d2203e5c0bd2d","Manufacturing","20 - 49"
"31319295fdf9a8a","Software and Technology","50 - 99"
"316214447138155","Financial Services","20 - 49"
"31982594794062a","Business Services","100 - 249"
"319d8383c64c15c","Manufacturing","10,000+"
"31c7e5be88f8cbe","Associations","20 - 49"
"31da8f78378b97a","Government","10,000+"
"3203afd0ad915ef","Healthcare and Medical","20 - 49"
"3209abdd879c7a3","Software and Technology","50 - 99"
"3318a20037f831c","Retail and Distribution","5,000 - 9,999"
"3364cf65c09ef9c","Software and Technology","0 - 9"
"3370dc93fd42aba","Business Services","100 - 249"
"33e67c8f885bacb","Hospitality and Travel","500 - 999"
"348c4848e174d9e","Financial Services","20 - 49"
"34bdd84a1c3c2b9","Business Services","20 - 49"
"34cd98ab2568746","Business Services","10,000+"
"35300cf7c27e5a6","Software and Technology","5,000 - 9,999"
"35b36bec25d78c1","Business Services","20 - 49"
"35e4ad80e098b7f","Financial Services","20 - 49"
"35eb02d841654f5","Business Services","10,000+"
"3675eff384db69a","Manufacturing","500 - 999"
"36eb96125775b17","Transportation and Logistics","100 - 249"
"37171012fe4733e","Software and Technology","10 - 19"
"37390c2bcafad2c","Software and Technology","250 - 499"
"375b4e1fab9b1be","Healthcare and Medical","0 - 9"
"375bae0c498f620","Software and Technology","100 - 249"
"376f95a2d281375","Software and Technology","100 - 249"
"380fcff86840bb7","Manufacturing","100 - 249"
"385748b79da417c","Healthcare and Medical","N/A"
"38728404c72bb51","Business Services","100 - 249"
"3966e22da171ea6","Financial Services","10,000+"
"39be8c62cc5dde0","Software and Technology","20 - 49"
"39cb09051c55f1a","Construction","1,000 - 4,999"
"3a05a1a6b0a8a6b","Business Services","50 - 99"
"3a0f26c04cb0469","Mining","1,000 - 4,999"
"3a59067984e40f0","Retail and Distribution","1,000 - 4,999"
"3b3b836775a68b0","Retail and Distribution","500 - 999"
"3b6bbd9443c9636","Healthcare and Medical","250 - 499"
"3bf173390e42af8","Retail and Distribution","100 - 249"
"3c4d71ed9b84edf","Financial Services","250 - 499"
"3c52dd0750675c2","Food and Beverage","1,000 - 4,999"
"3c9390edf349b9f","Software and Technology","20 - 49"
"3ca84a90e65646e","Business Services","250 - 499"
"3e73587904848b0","Healthcare and Medical","50 - 99"
"3e73c468ecd5587","Software and Technology","50 - 99"
"3e817733f695666","Software and Technology","1,000 - 4,999"
"3e84bc0036e1861","Software and Technology","100 - 249"
"3f179a1d2eec3d7","Media and Entertainment","5,000 - 9,999"
"3f83b21e1dd0424","Food and Beverage","100 - 249"
"3fa741ce2544a63","Business Services","1,000 - 4,999"
"4043710ad827487","Software and Technology","50 - 99"
"405adbd58276263","Education","100 - 249"
"4140588c0bf19c8","Financial Services","10,000+"
"416c86557d74360","Healthcare and Medical","250 - 499"
"4191471e31482e9","Software and Technology","100 - 249"
"41c965c0cab7ffb","Software and Technology","100 - 249"
"41f80eac9a7b830","Software and Technology","250 - 499"
"41f87059bdd4ceb","Software and Technology","100 - 249"
"42159160a876f29","Construction","100 - 249"
"4272dab1b7da837","Financial Services","250 - 499"
"42d7c7e2bb3ba07","Education","1,000 - 4,999"
"43aa62bcb3ec81f","Associations","100 - 249"
"44ddd4e77d0ccf1","Financial Services","250 - 499"
"450c95c97290eb7","Software and Technology","1,000 - 4,999"
"452cac99e15dc52","Hospitality and Travel","1,000 - 4,999"
"454de9fc1e82996","Government","10,000+"
"459a8841e88f129","Software and Technology","10 - 19"
"4638804a268fe29","Software and Technology","0 - 9"
"4657863a3284ebe","Financial Services","100 - 249"
"46596047374fd6f","Software and Technology","20 - 49"
"46b2ef69578a155","Business Services","100 - 249"
"47efa586080d1a4","Software and Technology","20 - 49"
"4890642f2a4e5a7","Financial Services","1,000 - 4,999"
"48a52f1bf76b6d2","Software and Technology","50 - 99"
"4978a7789ca5f48","Business Services","20 - 49"
"49a4a8342794ae9","Consumer Goods and Services","500 - 999"
"49fda3303e9677f","Software and Technology","100 - 249"
"4a1b62ed64dd834","Software and Technology","50 - 99"
"4a6e52624b87b73","Software and Technology","250 - 499"
"4a94d23f4a12387","Software and Technology","20 - 49"
"4a990b299799feb","Manufacturing","250 - 499"
"4af0f9a387bfc0f","Software and Technology","100 - 249"
"4af3f813348260f","Government","0 - 9"
"4b05ec54b7ccb20","Transportation and Logistics","10,000+"
"4b15f22d9246904","Construction","100 - 249"
"932edb0baf6fe64","Financial Services","500 - 999"
"9647244e0131376","Software and Technology","0 - 9"
"965d919f2d4b4f4","Software and Technology","10 - 19"
"969296049cfda73","Software and Technology","50 - 99"
"969e2b83ec104e8","Financial Services","100 - 249"
"96c5c7c964fff9e","Business Services","50 - 99"
"972846c40df266a","Transportation and Logistics","50 - 99"
"976ea8ccf89d5c1","Retail and Distribution","50 - 99"
"97a5643637c4492","Retail and Distribution","250 - 499"
